Date : 2021-07-18 10:17:41
Directory : /Users/erwachen/Desktop/xmly/src/app
Total : 126 files,  3658 codes, 98 comments, 498 blanks, all 4254 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/erwachen/Desktop/xmly/src/app/share/directives/charlene-btn.directive.spec.ts                               | TypeScript |          7 |          0 |          2 |          9 |
| /Users/erwachen/Desktop/xmly/src/app/share/directives/charlene-btn.directive.ts                                    | TypeScript |         12 |          0 |          3 |         15 |
| /Users/erwachen/Desktop/xmly/src/app/share/directives/directives.module.ts                                         | TypeScript |         20 |          0 |          2 |         22 |
| /Users/erwachen/Desktop/xmly/src/app/share/directives/icon/icon.directive.spec.ts                                  | TypeScript |          7 |          0 |          2 |          9 |
| /Users/erwachen/Desktop/xmly/src/app/share/directives/icon/icon.directive.ts                                       | TypeScript |         20 |          2 |          3 |         25 |
| /Users/erwachen/Desktop/xmly/src/app/share/directives/icon/type.ts                                                 | TypeScript |         22 |          0 |          0 |         22 |
| /Users/erwachen/Desktop/xmly/src/app/share/directives/str-tpl-outlet.directive.spec.ts                             | TypeScript |          7 |          0 |          2 |          9 |
| /Users/erwachen/Desktop/xmly/src/app/share/directives/str-tpl-outlet.directive.ts                                  | TypeScript |         17 |          0 |          4 |         21 |
| /Users/erwachen/Desktop/xmly/src/app/share/directives/toggle-more.directive.spec.ts                                | TypeScript |          7 |          0 |          2 |          9 |
| /Users/erwachen/Desktop/xmly/src/app/share/directives/toggle-more.directive.ts                                     | TypeScript |         41 |          2 |          7 |         50 |
| /Users/erwachen/Desktop/xmly/src/app/share/directives/unless.directive.spec.ts                                     | TypeScript |          7 |          0 |          2 |          9 |
| /Users/erwachen/Desktop/xmly/src/app/share/pipes/number-format.pipe.spec.ts                                        | TypeScript |          7 |          0 |          2 |          9 |
| /Users/erwachen/Desktop/xmly/src/app/share/pipes/number-format.pipe.ts                                             | TypeScript |         21 |          0 |          6 |         27 |
| /Users/erwachen/Desktop/xmly/src/app/share/pipes/pipes.module.ts                                                   | TypeScript |          9 |          0 |          4 |         13 |
| /Users/erwachen/Desktop/xmly/src/app/share/pipes/safe-content.pipe.spec.ts                                         | TypeScript |          7 |          0 |          2 |          9 |
| /Users/erwachen/Desktop/xmly/src/app/share/pipes/safe-content.pipe.ts                                              | TypeScript |         20 |          0 |          6 |         26 |
| /Users/erwachen/Desktop/xmly/src/app/share/share.module.ts                                                         | TypeScript |          7 |          0 |          4 |         11 |
| /Users/erwachen/Desktop/xmly/src/app/unless.directive.spec.ts                                                      | TypeScript |          7 |          0 |          2 |          9 |
| /Users/erwachen/Desktop/xmly/src/app/unless.directive.ts                                                           | TypeScript |         20 |          0 |          3 |         23 |
| Total                                                                                                              |            |      3,658 |         98 |        498 |      4,254 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
